age,male,married,ln_wage,rural_hk,familysize,old_ratio,child_ratio,ln_property,ln_transfer,edu_my,ifsocial,social_rate_h,ln_pce,ln_indinc_cr,year2,citycode2
37,0,1,7.1701198,1,5,0,0.40000001,0,4.5468345,2,0,0,9.873852747,8.962391702,5,3
43,0,1,7.6009026,1,5,0,0.2,0,4.4148164,1,0,0,10.65960953,8.944550246,5,3
26,1,1,7.8240461,1,3,0,0,0,2.6026897,3,1,0.074074075,11.29128079,9.514141826,5,3
51,1,1,7.7832241,1,3,0,0,0,2.8716795,1,0,0,10.15034763,9.236008119,5,3
57,1,1,7.6417246,1,4,0,0,0,2.6026897,4,0,0,10.32679258,9.262695602,1,3
28,0,1,8.1605186,1,3,0,0.33333334,0,0,2,0,0,11.2370402,10.49127422,5,3
36,1,1,8.4118328,1,3,0,0,0,0,2,1,0.042275008,9.792555992,10.30895266,5,3
32,0,1,7.495542,0,4,0,0.5,0,0,3,0,0,10.28643435,9.210340372,3,4
54,1,1,7.0900769,0,4,0,0,0,0,3,0,0,10.48178489,7.824046011,3,4
56,1,1,7.0900769,0,4,0,0,7.8244457,0,3,0,0,11.23399168,10.38899537,5,4
31,0,1,7.495542,1,3,0,0.33333334,0,0,4,0,0,10.37536443,10.05763826,3,4
33,0,1,7.495542,1,3,0,0.33333334,0,0,4,0,0.10714286,10.63720069,10.1911696,5,4
45,0,1,7.6009026,0,3,0,0,0,0,2,0,0,10.4461025,9.721165956,3,4
33,0,1,6.9077554,0,3,0,0.33333334,0,0,4,1,0.18032786,10.92215435,9.446729176,1,4
45,1,1,8.4763708,1,3,0,0.33333334,0,0,1,0,0,10.95185862,10.1266311,5,5
57,1,1,6.0322866,1,2,0,0,0,3.5361166,1,0,0,8.901094122,10.45230508,1,5
29,1,1,8.1315308,1,5,0,0.2,0,0,4,1,0.063360885,11.19106594,9.546812609,5,5
40,1,1,8.9871969,1,5,0,0.40000001,0,0,1,0,0,11.38690862,10.16585182,5,5
44,1,1,8.1117277,1,3,0,0,0,4.0831714,1,0,0,10.28738848,9.959552808,1,5
39,0,1,7.7406645,0,4,0,0.25,0,7.6501689,3,1,0.098039217,10.5865844,9.730621155,5,4
51,0,1,7.3132205,0,3,0,0,0,0,3,0,0,10.74548568,10.05763826,3,4
47,1,1,8.0063677,0,4,0,0,0,0,1,0,0,10.42228135,9.76995616,3,4
42,0,1,7.3132205,0,3,0,0.33333334,0,0,2,1,0.10714286,10.81997826,9.210340372,1,4
45,1,1,8.4118328,0,3,0,0,0,0,4,1,0.099385247,10.99909533,10.05763826,5,4
45,0,1,6.9077554,0,3,0,0,0,0,3,0,0,10.78062157,9.212338375,1,4
49,1,1,9.028019,0,3,0,0,6.9186954,0,2,0,0,11.17633322,10.89747979,1,4
41,0,1,7.6009026,1,4,0,0.5,0,0,3,0,0,10.33980512,9.433483923,3,4
49,0,1,7.495542,0,4,0.25,0,0,3.2580965,2,0,0,10.65561094,9.907230539,3,4
42,0,1,6.9077554,0,3,0,0.33333334,0,0,2,0,0,10.09740825,8.29404964,3,4
30,0,1,8.8536654,0,2,0,0,0,0,4,1,0.076217361,11.67674355,11.91839057,5,6
35,1,1,8.0063677,1,5,0.2,0.40000001,0,4.5290089,1,0,0,10.12422822,8.809832924,5,7
30,0,1,7.377759,1,3,0,0.33333334,0,0,3,0,0,10.6237634,10.05763826,5,7
25,0,1,7.3132205,1,3,0,0.33333334,0,8.3359108,2,0,0,9.970211185,10.51089524,3,7
47,1,1,7.7832241,1,3,0,0,0,0,1,0,0,8.870663004,9.629050707,5,7
53,1,1,6.2146082,1,4,0,0,7.1316986,6.5037889,3,0,0,10.21207459,9.583626582,3,7
33,0,1,7.0619059,1,4,0,0.5,0,2.7725887,2,0,0,10.23924525,9.235764424,1,7
51,1,1,8.0063677,1,5,0,0.2,7.8244457,3.5361166,3,0,0,10.58910647,9.399306471,3,7
53,1,1,8.0063677,1,5,0,0.2,7.8244457,2.2335923,3,0,0,10.49736673,9.427208273,5,7
37,0,1,7.8240461,1,5,0,0.60000002,0,0,2,0,0,9.501516334,9.588776808,3,7
37,0,1,7.6009026,1,5,0,0.60000002,0,0,1,0,0.047444362,10.73639668,9.546812609,3,5
46,1,1,6.9077554,0,1,0,0,0,6.2166061,2,0,0,8.810161268,9.903487553,5,5
29,1,0,7.418581,1,5,0,0.2,0,4.2743487,1,0,0,10.15237682,9.168893182,1,5
38,1,1,7.8240461,1,4,0,0.5,0,0,2,0,0,10.28397667,9.157466882,1,5
42,1,1,8.3428402,1,4,0,0.25,0,2.6026897,2,0,0,10.92988751,9.425451752,5,5
34,0,1,7.8240461,1,3,0,0.33333334,0,3.0834379,2,0,0,10.49717345,10.76672909,1,5
43,0,1,7.377759,1,5,0.2,0.40000001,0,5.6383548,1,0,0,10.81359923,9.706985932,5,5
29,0,1,6.9077554,1,4,0,0.5,0,0,1,0,0,10.25061708,9.453286551,5,7
35,0,1,7.7832241,1,4,0,0.5,0,0,2,0,0,10.55685386,9.903487553,5,7
39,1,1,8.1886892,1,3,0,0.33333334,0,5.7071104,1,0,0,10.48514436,9.55180015,5,6
38,0,1,7.495542,1,2,0,0.5,0,4.6151204,1,0,0,9.787515376,9.441452093,5,6
48,0,1,7.3132205,1,2,0,0,0,4.2145939,1,0,0,10.5162378,8.804875239,5,6
27,0,1,7.377759,1,3,0,0.33333334,0,0,3,1,0.15789473,10.52406404,9.721165956,5,8
48,1,1,8.0063677,1,3,0,0,0,1.7917595,2,0,0,9.997706228,9.210340372,5,8
41,0,1,6.9077554,0,5,0,0.2,0,4.3736582,3,0,0,9.893437217,8.422442855,3,8
45,1,1,6.9077554,1,4,0,0,0,0.98082924,2,0,0,9.516353401,9.015541294,5,8
55,1,1,8.0063677,1,4,0,0,0,2.2335923,3,1,0.14285715,11.19574592,9.215327913,3,8
40,1,1,7.8240461,1,4,0,0.25,0,0,2,0,0,9.981559088,8.958668737,1,8
26,1,1,7.7832241,1,3,0,0.33333334,0,0.080042705,3,0,0,10.05363021,9.232786561,3,8
28,1,1,7.6496925,1,3,0,0.33333334,0,0,3,0,0,10.04455299,8.804875239,5,8
42,0,1,8.0063677,1,1,0,0,0,0,2,0,0,9.398975291,9.61580548,5,8
49,0,1,6.9077554,1,2,0,0,0,0,1,0,0,10.0107263,8.006367568,3,8
50,0,1,7.3132205,1,2,0,0,0,2.2335923,3,0,0,9.84876734,8.99342737,3,8
29,1,1,7.7406645,1,3,0,0.33333334,0,0,3,1,0.20689656,11.72250545,10.1911696,5,8
47,1,1,7.6009026,1,4,0,0,0,1.7917595,1,1,0.090909094,10.15967896,9.61680498,3,8
45,0,1,6.6846118,1,4,0,0.25,0,0,1,0,0,10.04368418,8.9226583,3,8
27,1,1,8.5171928,1,3,0,0.33333334,0,0,2,0,0,9.771668978,9.8866804,3,7
35,0,1,7.6009026,1,4,0,0.5,0,2.1400661,1,0,0,10.56048929,9.433483923,5,7
48,1,1,7.9010072,1,3,0,0,0,3.1208954,1,0,0,9.512295104,9.855964982,3,7
35,1,1,7.3672876,1,4,0,0.5,0,1.6422278,2,0,0,9.869930769,9.053978917,1,7
34,0,1,7.3132205,1,4,0,0.5,0,0,1,0,0,10.1980211,9.038958755,3,7
36,0,1,7.3132205,1,4,0,0.25,0,0,1,0,0,10.32285557,9.210340372,5,7
44,1,1,8.5171928,1,4,0,0,2.2335923,2.3978953,1,0,0,11.86765852,10.07765092,3,7
44,0,1,7.130899,1,4,0,0,2.3978953,2.8716795,1,0,0,10.89821971,9.932803607,1,7
24,1,1,8.1016779,1,1,0,0,0,0,2,0,0,9.019664011,11.86361755,5,6
33,0,1,7.6009026,1,2,0,0.5,0,0,2,0,0.06779661,10.23580833,10.34335409,3,6
43,1,1,7.418581,1,3,0,0,0,5.1704841,1,0,0,10.37111336,9.071844333,1,6
45,1,1,8.2940493,1,3,0,0,0,4.3307333,1,0,0,11.02111785,9.83983749,3,6
47,1,1,8.0063677,1,2,0,0,0,6.5284452,1,0,0,10.10561174,10.33201793,5,6
36,1,0,8.2940493,1,1,0,0,0,1.4663371,2,1,0.12999777,10.81977828,10.59763423,3,5
54,1,1,8.0063677,1,3,0,0.33333334,0,3.2580965,3,0,0,11.45062444,9.367344121,3,5
56,1,1,8.0063677,1,2,0,0,0,8.9810534,3,0,0,11.71194024,10.57472986,5,5
46,0,1,6.5022902,1,2,0,0,0,3.5361166,2,0,0,9.389323028,9.263881139,1,5
48,0,1,7.8632669,1,2,0,0,0,0,2,0,0,12.34670378,9.46498259,3,5
57,1,1,7.495542,1,3,0,0.33333334,0,3.753418,3,0,0,10.15704391,9.531215388,3,5
39,0,1,8.0063677,1,2,0,0,0,3.9318256,2,0,0,10.88743693,10.81073754,3,5
26,0,1,7.3132205,1,3,0,0.33333334,0,0,4,0,0,10.08163374,9.798127037,5,6
47,1,1,7.3132205,1,2,0,0,0,4.0546794,3,0,0,9.327234123,10.0028803,1,6
44,0,1,6.7254338,1,4,0,0.25,0,0,2,0,0,10.18111929,8.965079015,1,9
29,1,1,6.1275969,1,4,0,0.5,0,0,1,0,0,10.10192849,8.043181541,1,10
60,1,1,8.0063677,1,3,0,0.33333334,0,4.2268338,2,0,0,9.230142999,9.200626646,3,10
42,0,1,6.9077554,1,4,0,0.25,4.4347773,0,2,0,0,9.586033322,9.748148667,3,10
28,0,1,8.1605186,1,4,0,0.5,0,0,2,0,0,11.61638417,9.61580548,5,10
39,1,1,8.5171928,1,3,0,0.33333334,0,0,2,0,0,10.15890466,9.36449108,3,10
29,0,1,7.3132205,1,2,0,0.5,0,0,2,0,0,9.980263391,7.313220387,5,10
49,1,1,8.0063677,1,2,0,0,4.6151204,6.1388063,1,0,0,9.873028345,10.47376063,3,10
51,1,1,8.0063677,1,3,0,0,4.4347773,3.753418,1,0,0,10.18603145,9.498022419,5,10
31,1,1,6.9077554,1,3,0,0.33333334,0,0,2,0,0,10.16892402,9.507477603,1,10
35,0,1,7.6009026,1,3,0,0.33333334,0,0,2,0,0,10.56565993,10.05763826,5,10
44,0,1,7.2442274,0,4,0,0.25,0,0,3,0,0,10.79507567,9.433483923,5,10
36,0,1,6.0322866,1,4,0,0.5,4.4347773,0,2,0,0,9.026297334,8.29404964,1,10
40,0,1,7.6009026,1,4,0,0.25,0,0,2,0,0,10.54006438,9.510444964,5,10
43,0,1,6.9077554,1,4,0,0,6.2964954,4.9836068,2,0,0,10.45160896,9.13803846,1,10
47,0,1,7.6009026,1,4,0,0,4.4347773,0,2,0,0,11.16421869,9.664595644,5,10
